,book1,book2,num_conn
890,2-chronicles,micah,42
891,2-chronicles,nahum,10
892,2-chronicles,habakkuk,18
893,2-chronicles,zephaniah,24
894,2-chronicles,haggai,11
895,2-chronicles,zechariah,69
896,2-chronicles,malachi,27
897,2-chronicles,matthew,165
898,2-chronicles,mark,130
899,2-chronicles,luke,235
900,2-chronicles,john,111
901,2-chronicles,acts,236
902,2-chronicles,romans,53
903,2-chronicles,1-corinthians,50
904,2-chronicles,2-corithians,0
905,2-chronicles,galatians,23
906,2-chronicles,ephesians,25
907,2-chronicles,philippians,9
908,2-chronicles,colossians,16
909,2-chronicles,1-thessalonians,13
910,2-chronicles,2-thessalonians,1
911,2-chronicles,1-timothy,18
912,2-chronicles,2-timothy,14
913,2-chronicles,titus,7
914,2-chronicles,philemon,2
915,2-chronicles,hebrews,67
916,2-chronicles,james,16
917,2-chronicles,1-peter,21
918,2-chronicles,2-peter,9
919,2-chronicles,1-john,15
920,2-chronicles,2-john,1
921,2-chronicles,3-john,1
922,2-chronicles,jude,4
923,2-chronicles,revelation,59
924,ezra,genesis,68
925,ezra,exodus,42
926,ezra,leviticus,23
927,ezra,numbers,47
928,ezra,deuteronomy,53
929,ezra,joshua,25
930,ezra,judges,47
931,ezra,ruth,5
932,ezra,1-samuel,22
933,ezra,2-samuel,46
934,ezra,1-kings,72
935,ezra,2-kings,42
936,ezra,1-chronicles,173
937,ezra,2-chronicles,204
939,ezra,nehemiah,311
940,ezra,esther,16
941,ezra,job,67
942,ezra,psalms,168
943,ezra,proverbs,28
944,ezra,ecclesiastes,10
945,ezra,song-of-solomon,7
946,ezra,isaiah,58
947,ezra,jeremiah,81
948,ezra,lamentations,5
949,ezra,ezekiel,56
950,ezra,daniel,60
951,ezra,hosea,8
952,ezra,joel,6
953,ezra,amos,7
954,ezra,obadiah,0
955,ezra,jonah,1
956,ezra,micah,8
957,ezra,nahum,1
958,ezra,habakkuk,2
959,ezra,zephaniah,4
960,ezra,haggai,7
961,ezra,zechariah,9
962,ezra,malachi,2
963,ezra,matthew,32
964,ezra,mark,12
965,ezra,luke,61
966,ezra,john,35
967,ezra,acts,62
968,ezra,romans,16
969,ezra,1-corinthians,23
970,ezra,2-corithians,0
971,ezra,galatians,6
972,ezra,ephesians,4
973,ezra,philippians,3
974,ezra,colossians,3
975,ezra,1-thessalonians,3
976,ezra,2-thessalonians,0
977,ezra,1-timothy,6
978,ezra,2-timothy,4
979,ezra,titus,1
980,ezra,philemon,1
981,ezra,hebrews,18
982,ezra,james,3
983,ezra,1-peter,6
984,ezra,2-peter,3
985,ezra,1-john,6
986,ezra,2-john,0
987,ezra,3-john,0
988,ezra,jude,1
989,ezra,revelation,20
990,nehemiah,genesis,99
991,nehemiah,exodus,74
992,nehemiah,leviticus,42
993,nehemiah,numbers,46
994,nehemiah,deuteronomy,95
995,nehemiah,joshua,56
996,nehemiah,judges,50
997,nehemiah,ruth,6
998,nehemiah,1-samuel,50
999,nehemiah,2-samuel,49
1000,nehemiah,1-kings,48
1001,nehemiah,2-kings,25
1002,nehemiah,1-chronicles,243
1003,nehemiah,2-chronicles,120
1004,nehemiah,ezra,262
1006,nehemiah,esther,22
1007,nehemiah,job,77
1008,nehemiah,psalms,286
1009,nehemiah,proverbs,52
1010,nehemiah,ecclesiastes,25
1011,nehemiah,song-of-solomon,6
1012,nehemiah,isaiah,114
1013,nehemiah,jeremiah,88
1014,nehemiah,lamentations,11
1015,nehemiah,ezekiel,66
1016,nehemiah,daniel,41
1017,nehemiah,hosea,24
1018,nehemiah,joel,22
1019,nehemiah,amos,9
1020,nehemiah,obadiah,4
1021,nehemiah,jonah,5
1022,nehemiah,micah,4
1023,nehemiah,nahum,4
1024,nehemiah,habakkuk,5
1025,nehemiah,zephaniah,6
1026,nehemiah,haggai,2
1027,nehemiah,zechariah,21
1028,nehemiah,malachi,4
1029,nehemiah,matthew,49
1030,nehemiah,mark,24
